✓ Initialized. View run at 
https://modal.com/apps/newperson953/main/ap-eM6cqOQfoqCf80dThivI6A
✓ Created objects.
├── 🔨 Created mount /Users/huy.dangxuan/Desktop/autoresearch/modal_app.py
├── 🔨 Created mount train.py
├── 🔨 Created mount prepare.py
├── 🔨 Created function prepare_data.
└── 🔨 Created function train.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011194 | lrm: 1.00 | dt: 64875ms | tok/sec: 8,081 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00025 (1.6%) | loss: 5.468376 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,450 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.437607 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,269 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.407138 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,958 | mfu: 38.0% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.380022 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,923 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.351589 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,977 | mfu: 37.6% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.321420 | lrm: 1.00 | dt: 343ms | tok/sec: 1,528,264 | mfu: 36.9% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.291997 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,946 | mfu: 38.5% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.264282 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,605 | mfu: 39.0% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.238391 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,930 | mfu: 38.9% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.207509 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,544 | mfu: 38.9% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.181478 | lrm: 1.00 | dt: 357ms | tok/sec: 1,469,698 | mfu: 35.5% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.155917 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,148 | mfu: 38.1% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.129099 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,635 | mfu: 37.7% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.102631 | lrm: 1.00 | dt: 342ms | tok/sec: 1,533,273 | mfu: 37.0% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.074571 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,222 | mfu: 38.3% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.046929 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,698 | mfu: 38.9% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.019732 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,405 | mfu: 38.7% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.992332 | lrm: 1.00 | dt: 351ms | tok/sec: 1,493,599 | mfu: 36.1% | epoch: 1 | remaining: 289s    
step 00043 (3.6%) | loss: 4.963335 | lrm: 1.00 | dt: 315ms | tok/sec: 1,665,955 | mfu: 40.3% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.935562 | lrm: 1.00 | dt: 354ms | tok/sec: 1,479,206 | mfu: 35.7% | epoch: 1 | remaining: 289s    
step 00045 (3.8%) | loss: 4.909506 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,212 | mfu: 37.9% | epoch: 1 | remaining: 288s    
step 00046 (3.9%) | loss: 4.881126 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,516 | mfu: 38.4% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.846265 | lrm: 1.00 | dt: 351ms | tok/sec: 1,492,462 | mfu: 36.1% | epoch: 1 | remaining: 288s    
step 00048 (4.1%) | loss: 4.822821 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,554 | mfu: 39.2% | epoch: 1 | remaining: 287s    
step 00049 (4.2%) | loss: 4.795868 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,601 | mfu: 39.4% | epoch: 1 | remaining: 287s    
step 00050 (4.3%) | loss: 4.766285 | lrm: 1.00 | dt: 336ms | tok/sec: 1,562,578 | mfu: 37.8% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 4.741673 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,162 | mfu: 38.7% | epoch: 1 | remaining: 286s    
step 00052 (4.6%) | loss: 4.712978 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,992 | mfu: 39.6% | epoch: 1 | remaining: 286s    
step 00053 (4.7%) | loss: 4.687723 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,412 | mfu: 38.3% | epoch: 1 | remaining: 286s    
step 00054 (4.8%) | loss: 4.662356 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,527 | mfu: 38.7% | epoch: 1 | remaining: 285s    
step 00055 (4.9%) | loss: 4.638701 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,860 | mfu: 39.1% | epoch: 1 | remaining: 285s    
step 00056 (5.0%) | loss: 4.616316 | lrm: 1.00 | dt: 341ms | tok/sec: 1,538,258 | mfu: 37.2% | epoch: 1 | remaining: 285s    
step 00057 (5.1%) | loss: 4.593490 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,462 | mfu: 39.0% | epoch: 1 | remaining: 284s    
step 00058 (5.2%) | loss: 4.565558 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,308 | mfu: 39.2% | epoch: 1 | remaining: 284s    
step 00059 (5.3%) | loss: 4.541695 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,599 | mfu: 38.6% | epoch: 1 | remaining: 284s    
step 00060 (5.4%) | loss: 4.513770 | lrm: 1.00 | dt: 327ms | tok/sec: 1,600,924 | mfu: 38.7% | epoch: 1 | remaining: 283s    
step 00061 (5.5%) | loss: 4.485516 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,920 | mfu: 39.2% | epoch: 1 | remaining: 283s    
step 00062 (5.6%) | loss: 4.461689 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,723 | mfu: 39.4% | epoch: 1 | remaining: 283s    
step 00063 (5.7%) | loss: 4.436830 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,950 | mfu: 38.8% | epoch: 1 | remaining: 282s    
step 00064 (5.9%) | loss: 4.411547 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,007 | mfu: 39.1% | epoch: 1 | remaining: 282s    
step 00065 (6.0%) | loss: 4.380860 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,023 | mfu: 38.9% | epoch: 1 | remaining: 282s    
step 00066 (6.1%) | loss: 4.358827 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,243 | mfu: 38.7% | epoch: 1 | remaining: 281s    
step 00067 (6.2%) | loss: 4.335585 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,559 | mfu: 39.0% | epoch: 1 | remaining: 281s    
step 00068 (6.3%) | loss: 4.315276 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,246 | mfu: 39.2% | epoch: 1 | remaining: 281s    
step 00069 (6.4%) | loss: 4.294311 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,734 | mfu: 39.2% | epoch: 1 | remaining: 280s    
step 00070 (6.5%) | loss: 4.271591 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,810 | mfu: 38.8% | epoch: 1 | remaining: 280s    
step 00071 (6.6%) | loss: 4.254652 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,721 | mfu: 38.8% | epoch: 1 | remaining: 280s    
step 00072 (6.7%) | loss: 4.230809 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,906 | mfu: 38.9% | epoch: 1 | remaining: 280s    
step 00073 (6.8%) | loss: 4.207683 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,305 | mfu: 39.1% | epoch: 1 | remaining: 279s    
step 00074 (6.9%) | loss: 4.187707 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,053 | mfu: 38.8% | epoch: 1 | remaining: 279s    
step 00075 (7.0%) | loss: 4.170057 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,419 | mfu: 39.0% | epoch: 1 | remaining: 279s    
step 00076 (7.2%) | loss: 4.149093 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,033 | mfu: 39.1% | epoch: 1 | remaining: 278s    
step 00077 (7.3%) | loss: 4.131765 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,760 | mfu: 39.0% | epoch: 1 | remaining: 278s    
step 00078 (7.4%) | loss: 4.107761 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,366 | mfu: 38.6% | epoch: 1 | remaining: 278s    
step 00079 (7.5%) | loss: 4.087531 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,424 | mfu: 39.1% | epoch: 1 | remaining: 277s    
step 00080 (7.6%) | loss: 4.067346 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,910 | mfu: 39.1% | epoch: 1 | remaining: 277s    
step 00081 (7.7%) | loss: 4.046800 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,799 | mfu: 39.5% | epoch: 1 | remaining: 277s    
step 00082 (7.8%) | loss: 4.032297 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,625 | mfu: 38.4% | epoch: 1 | remaining: 276s    
step 00083 (7.9%) | loss: 4.012974 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,393 | mfu: 38.6% | epoch: 1 | remaining: 276s    
step 00084 (8.0%) | loss: 3.993866 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,769 | mfu: 39.0% | epoch: 1 | remaining: 276s    
step 00085 (8.1%) | loss: 3.981214 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,435 | mfu: 38.9% | epoch: 1 | remaining: 275s    
step 00086 (8.2%) | loss: 3.970333 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,542 | mfu: 39.0% | epoch: 1 | remaining: 275s    
step 00087 (8.4%) | loss: 3.952534 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,947 | mfu: 39.0% | epoch: 1 | remaining: 275s    
step 00088 (8.5%) | loss: 3.934976 | lrm: 1.00 | dt: 333ms | tok/sec: 1,575,066 | mfu: 38.1% | epoch: 1 | remaining: 274s    
step 00089 (8.6%) | loss: 3.916876 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,499 | mfu: 39.0% | epoch: 1 | remaining: 274s    
step 00090 (8.7%) | loss: 3.904709 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,113 | mfu: 39.0% | epoch: 1 | remaining: 274s    
step 00091 (8.8%) | loss: 3.888991 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,830 | mfu: 38.8% | epoch: 1 | remaining: 273s    
step 00092 (8.9%) | loss: 3.873793 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,523 | mfu: 38.5% | epoch: 1 | remaining: 273s    
step 00093 (9.0%) | loss: 3.861512 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,911 | mfu: 38.8% | epoch: 1 | remaining: 273s    
step 00094 (9.1%) | loss: 3.848988 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,455 | mfu: 38.8% | epoch: 1 | remaining: 272s    
step 00095 (9.2%) | loss: 3.836193 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,107 | mfu: 38.9% | epoch: 1 | remaining: 272s    
step 00096 (9.3%) | loss: 3.824273 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,706 | mfu: 38.7% | epoch: 1 | remaining: 272s    
step 00097 (9.4%) | loss: 3.809074 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,203 | mfu: 38.1% | epoch: 1 | remaining: 271s    
step 00098 (9.6%) | loss: 3.798046 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,849 | mfu: 36.9% | epoch: 1 | remaining: 271s    
step 00099 (9.7%) | loss: 3.787085 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,947 | mfu: 39.6% | epoch: 1 | remaining: 271s    
step 00100 (9.8%) | loss: 3.774250 | lrm: 1.00 | dt: 350ms | tok/sec: 1,496,205 | mfu: 36.2% | epoch: 1 | remaining: 270s    
step 00101 (9.9%) | loss: 3.761515 | lrm: 1.00 | dt: 350ms | tok/sec: 1,498,429 | mfu: 36.2% | epoch: 1 | remaining: 270s    
step 00102 (10.0%) | loss: 3.749224 | lrm: 1.00 | dt: 345ms | tok/sec: 1,518,160 | mfu: 36.7% | epoch: 1 | remaining: 270s    
step 00103 (10.1%) | loss: 3.737840 | lrm: 1.00 | dt: 364ms | tok/sec: 1,442,234 | mfu: 34.8% | epoch: 1 | remaining: 269s    
step 00104 (10.2%) | loss: 3.719969 | lrm: 1.00 | dt: 357ms | tok/sec: 1,468,606 | mfu: 35.5% | epoch: 1 | remaining: 269s    
step 00105 (10.4%) | loss: 3.708440 | lrm: 1.00 | dt: 357ms | tok/sec: 1,467,093 | mfu: 35.4% | epoch: 1 | remaining: 269s    
step 00106 (10.5%) | loss: 3.697924 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,397 | mfu: 39.9% | epoch: 1 | remaining: 268s    
step 00107 (10.6%) | loss: 3.689956 | lrm: 1.00 | dt: 409ms | tok/sec: 1,281,131 | mfu: 31.0% | epoch: 1 | remaining: 268s    
step 00108 (10.7%) | loss: 3.685807 | lrm: 1.00 | dt: 337ms | tok/sec: 1,556,123 | mfu: 37.6% | epoch: 1 | remaining: 267s    
step 00109 (10.8%) | loss: 3.674953 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,291 | mfu: 36.9% | epoch: 1 | remaining: 267s    
step 00110 (11.0%) | loss: 3.666298 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,472 | mfu: 38.4% | epoch: 1 | remaining: 267s    
step 00111 (11.1%) | loss: 3.663539 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,474 | mfu: 38.5% | epoch: 1 | remaining: 266s    
step 00112 (11.2%) | loss: 3.659544 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,219 | mfu: 38.8% | epoch: 1 | remaining: 266s    
step 00113 (11.3%) | loss: 3.653115 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,494 | mfu: 38.8% | epoch: 1 | remaining: 266s    
step 00114 (11.4%) | loss: 3.644088 | lrm: 1.00 | dt: 341ms | tok/sec: 1,535,594 | mfu: 37.1% | epoch: 1 | remaining: 265s    
step 00115 (11.5%) | loss: 3.640275 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,446 | mfu: 38.7% | epoch: 1 | remaining: 265s    
step 00116 (11.6%) | loss: 3.630596 | lrm: 1.00 | dt: 361ms | tok/sec: 1,451,851 | mfu: 35.1% | epoch: 1 | remaining: 265s    
step 00117 (11.7%) | loss: 3.627174 | lrm: 1.00 | dt: 349ms | tok/sec: 1,500,790 | mfu: 36.3% | epoch: 1 | remaining: 264s    
step 00118 (11.8%) | loss: 3.618616 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,519 | mfu: 40.3% | epoch: 1 | remaining: 264s    
step 00119 (12.0%) | loss: 3.611947 | lrm: 1.00 | dt: 337ms | tok/sec: 1,554,379 | mfu: 37.6% | epoch: 1 | remaining: 264s    
step 00120 (12.1%) | loss: 3.607066 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,514 | mfu: 38.8% | epoch: 1 | remaining: 263s    
step 00121 (12.2%) | loss: 3.598151 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,919 | mfu: 39.4% | epoch: 1 | remaining: 263s    
step 00122 (12.3%) | loss: 3.585715 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,257 | mfu: 38.7% | epoch: 1 | remaining: 263s    
step 00123 (12.4%) | loss: 3.581488 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,831 | mfu: 38.7% | epoch: 1 | remaining: 263s    
step 00124 (12.5%) | loss: 3.579134 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,234 | mfu: 39.3% | epoch: 1 | remaining: 262s    
step 00125 (12.6%) | loss: 3.570216 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,594 | mfu: 38.6% | epoch: 1 | remaining: 262s    
step 00126 (12.7%) | loss: 3.562615 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,353 | mfu: 38.4% | epoch: 1 | remaining: 262s    
step 00127 (12.8%) | loss: 3.559683 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,074 | mfu: 39.3% | epoch: 1 | remaining: 261s    
step 00128 (12.9%) | loss: 3.553001 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,324 | mfu: 38.8% | epoch: 1 | remaining: 261s    
step 00129 (13.0%) | loss: 3.546836 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,238 | mfu: 39.1% | epoch: 1 | remaining: 261s    
step 00130 (13.1%) | loss: 3.542637 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,639 | mfu: 39.7% | epoch: 1 | remaining: 260s    
step 00131 (13.3%) | loss: 3.537079 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,751 | mfu: 39.6% | epoch: 1 | remaining: 260s    
step 00132 (13.4%) | loss: 3.532074 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,188 | mfu: 39.0% | epoch: 1 | remaining: 260s    
step 00133 (13.5%) | loss: 3.522989 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,858 | mfu: 39.5% | epoch: 1 | remaining: 259s    
step 00134 (13.6%) | loss: 3.516511 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,004 | mfu: 38.8% | epoch: 1 | remaining: 259s    
step 00135 (13.7%) | loss: 3.508590 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,326 | mfu: 39.0% | epoch: 1 | remaining: 259s    
step 00136 (13.8%) | loss: 3.501150 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,823 | mfu: 39.2% | epoch: 1 | remaining: 258s    
step 00137 (13.9%) | loss: 3.498581 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,990 | mfu: 38.1% | epoch: 1 | remaining: 258s    
step 00138 (14.0%) | loss: 3.496436 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,236 | mfu: 38.7% | epoch: 1 | remaining: 258s    
step 00139 (14.1%) | loss: 3.487940 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,144 | mfu: 38.9% | epoch: 1 | remaining: 257s    
step 00140 (14.2%) | loss: 3.484488 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,914 | mfu: 38.8% | epoch: 1 | remaining: 257s    
step 00141 (14.3%) | loss: 3.483154 | lrm: 1.00 | dt: 339ms | tok/sec: 1,544,563 | mfu: 37.3% | epoch: 1 | remaining: 257s    
step 00142 (14.5%) | loss: 3.482654 | lrm: 1.00 | dt: 342ms | tok/sec: 1,532,766 | mfu: 37.0% | epoch: 1 | remaining: 256s    
step 00143 (14.6%) | loss: 3.479939 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,983 | mfu: 39.1% | epoch: 1 | remaining: 256s    
step 00144 (14.7%) | loss: 3.478073 | lrm: 1.00 | dt: 350ms | tok/sec: 1,498,165 | mfu: 36.2% | epoch: 1 | remaining: 256s    
step 00145 (14.8%) | loss: 3.470491 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,837 | mfu: 39.4% | epoch: 1 | remaining: 255s    
step 00146 (14.9%) | loss: 3.468713 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,066 | mfu: 38.9% | epoch: 1 | remaining: 255s    
step 00147 (15.0%) | loss: 3.468732 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,529 | mfu: 38.8% | epoch: 1 | remaining: 255s    
step 00148 (15.1%) | loss: 3.465499 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,555 | mfu: 38.9% | epoch: 1 | remaining: 254s    
step 00149 (15.2%) | loss: 3.459091 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,150 | mfu: 38.5% | epoch: 1 | remaining: 254s    
step 00150 (15.3%) | loss: 3.452522 | lrm: 1.00 | dt: 336ms | tok/sec: 1,560,380 | mfu: 37.7% | epoch: 1 | remaining: 254s    
step 00151 (15.4%) | loss: 3.450600 | lrm: 1.00 | dt: 347ms | tok/sec: 1,512,263 | mfu: 36.5% | epoch: 1 | remaining: 253s    
step 00152 (15.6%) | loss: 3.446367 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,817 | mfu: 38.2% | epoch: 1 | remaining: 253s    
step 00153 (15.7%) | loss: 3.449101 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,153 | mfu: 39.4% | epoch: 1 | remaining: 253s    
step 00154 (15.8%) | loss: 3.446001 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,480 | mfu: 38.6% | epoch: 1 | remaining: 252s    
step 00155 (15.9%) | loss: 3.439741 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,144 | mfu: 38.7% | epoch: 1 | remaining: 252s    
step 00156 (16.0%) | loss: 3.433323 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,679 | mfu: 38.1% | epoch: 1 | remaining: 252s    
step 00157 (16.1%) | loss: 3.427953 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,558 | mfu: 38.9% | epoch: 1 | remaining: 251s    
step 00158 (16.2%) | loss: 3.425950 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,038 | mfu: 38.7% | epoch: 1 | remaining: 251s    
step 00159 (16.3%) | loss: 3.421993 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,742 | mfu: 39.3% | epoch: 1 | remaining: 251s    
step 00160 (16.4%) | loss: 3.418089 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,239 | mfu: 38.9% | epoch: 1 | remaining: 250s    
